feature,importance
Sales_roll_7_mean,0.6648805931504765
Promo,0.10585582133388713
DayOfWeek,0.067402336096329
Sales_lag_1,0.0511966125191232
Sales_roll_28_mean,0.042291441484709126
Sales_lag_28,0.015973148685820858
Sales_lag_7,0.014691185277090532
Sales_lag_14,0.014258001330662266
Month,0.012434947591596907
Store,0.008337315502103416
Year,0.002678597028200926
